type,timestamp,x,y,yaw
actual,1745082135.755864,394645.43422854604,4438784.142709567,0.042258383088184776
actual,1745082135.855867,394645.4351515113,4438784.143660854,0.04220405098857021
actual,1745082135.9559743,394645.43523707346,4438784.143651601,0.04221708859808268
actual,1745082136.055904,394645.43529525213,4438784.1436648285,0.04222309253070951
actual,1745082136.1559207,394645.43542366533,4438784.143575498,0.04224147084773299
actual,1745082136.2559063,394645.43555735226,4438784.143581707,0.04222455860728121
actual,1745082136.3559256,394645.4348794781,4438784.142995652,0.04220324813711433
actual,1745082136.4558759,394645.4348881079,4438784.142938156,0.04222335433009714
actual,1745082136.555867,394645.43500757386,4438784.142821406,0.04224812055218292
actual,1745082136.6558654,394645.43498029705,4438784.142772863,0.04225890668696029
actual,1745082136.7558908,394645.4349680867,4438784.142609585,0.04229287079420417
actual,1745082136.855894,394645.43501429074,4438784.142543324,0.04227714537764372
actual,1745082136.9559016,394645.4352250225,4438784.143363716,0.04223773584313373
actual,1745082137.0559156,394645.4352285117,4438784.143450735,0.04217635261334105
actual,1745082137.1559548,394645.43516948586,4438784.1433858285,0.04224998805448255
actual,1745082137.2558653,394645.43494633294,4438784.143414959,0.042170086881326334
actual,1745082137.355992,394645.43564703065,4438784.1435815655,0.042254909882973396
actual,1745082137.4558609,394645.43552572787,4438784.143574622,0.042233337613418645
actual,1745082137.5559368,394645.4358163258,4438784.143497931,0.04229500009589168
actual,1745082137.6559234,394645.4365345899,4438784.1434603855,0.04230538480494087
actual,1745082137.755997,394645.4376302415,4438784.143399468,0.04239858538699744
actual,1745082137.855952,394645.4342252939,4438784.143734493,0.04219192095026872
actual,1745082137.9559076,394645.4345025881,4438784.143710549,0.04221337104677589
actual,1745082138.0558739,394645.43468077894,4438784.143543045,0.042282084659426795
actual,1745082138.155866,394645.43475670053,4438784.143534392,0.042163157924196046
actual,1745082138.2558622,394645.43479306006,4438784.143423994,0.04222574543117254
actual,1745082138.3558583,394645.43803036463,4438784.143849407,0.04223546691510616
actual,1745082138.4558344,394645.4376474433,4438784.143712217,0.04224213407284856
actual,1745082138.5559394,394645.4366026726,4438784.143624779,0.04225531130870133
actual,1745082138.6559322,394645.4352495614,4438784.143500559,0.042280478956515044
actual,1745082138.755871,394645.43392745906,4438784.143398458,0.04221590177419109
actual,1745082138.855938,394645.44072293583,4438784.14438268,0.04227702320459614
actual,1745082138.9558723,394645.4410060111,4438784.144470878,0.042193928078908656
