type,timestamp,x,y,yaw
actual,1745086378.9896812,394656.9184480966,4438783.016917823,-0.06574145656121047
actual,1745086379.0896697,394656.9181104449,4438783.016706272,-0.06572295607113941
actual,1745086379.189692,394656.91785371886,4438783.016562834,-0.06572241501907142
actual,1745086379.289691,394656.91778837313,4438783.016433183,-0.0657077717066472
actual,1745086379.3897414,394656.9179175751,4438783.016264757,-0.06572801752597031
actual,1745086379.4896858,394656.91766859626,4438783.015661261,-0.06569672377248194
actual,1745086379.589772,394656.91790196986,4438783.015623709,-0.06565996713843499
actual,1745086379.689725,394656.9182200448,4438783.015523687,-0.0657208267694519
actual,1745086379.7896998,394656.9184344631,4438783.015341892,-0.06566316109096601
actual,1745086379.8896759,394656.91862046934,4438783.015426242,-0.06566942682298071
actual,1745086379.9896784,394656.9181429909,4438783.015712721,-0.06577222671592332
actual,1745086380.0896711,394656.9178500124,4438783.015678737,-0.06573547008187611
actual,1745086380.1897144,394656.9174984405,4438783.015777042,-0.06577447819065842
actual,1745086380.289703,394656.9171148361,4438783.015776268,-0.06576463453367697
actual,1745086380.3898273,394656.9168041799,4438783.015843974,-0.06577901604671355
actual,1745086380.4896855,394656.9185318744,4438783.01579038,-0.06575557627485917
actual,1745086380.589717,394656.91853030684,4438783.015797476,-0.06571895926715227
actual,1745086380.68971,394656.9184829956,4438783.015801852,-0.06572695287512656
actual,1745086380.7897172,394656.9184402966,4438783.015766316,-0.06571841821508427
actual,1745086380.8896708,394656.91846642166,4438783.01571861,-0.06569792804966576
actual,1745086380.9897368,394656.91984768905,4438783.016787101,-0.06573733758417574
actual,1745086381.0896869,394656.92001401837,4438783.017051063,-0.06593054553237158
actual,1745086381.189701,394656.9201551852,4438783.01713899,-0.06593347768551497
actual,1745086381.2897215,394656.92022747494,4438783.017116036,-0.06584998113409955
actual,1745086381.389676,394656.92024284985,4438783.01695532,-0.06568101580921397
actual,1745086381.489681,394656.9182814566,4438783.017667543,-0.0655836787968302
actual,1745086381.589681,394656.91814014333,4438783.017727664,-0.06555543936953305
actual,1745086381.6896925,394656.91801665566,4438783.017748975,-0.06551948558694196
actual,1745086381.789679,394656.9178462533,4438783.017726062,-0.06550670977681737
actual,1745086381.889727,394656.91766030196,4438783.017847494,-0.06556648730369806
actual,1745086381.9896865,394656.9184614549,4438783.017180145,-0.06576543738513309
actual,1745086382.0896883,394656.91846477415,4438783.017056927,-0.06575011339430058
actual,1745086382.1897707,394656.918376706,4438783.016939752,-0.06571723139119294
actual,1745086382.289703,394656.9183769704,4438783.0168671915,-0.06573014682765757
actual,1745086382.3896713,394656.91836651316,4438783.016637538,-0.0657126935351378
actual,1745086382.4897025,394656.9170679489,4438783.016600715,-0.06569698557186983
actual,1745086382.5896993,394656.9169509405,4438783.016601263,-0.06572747647390208
actual,1745086382.6897163,394656.9168597837,4438783.016479839,-0.0657258882242828
actual,1745086382.7896996,394656.91686917393,4438783.016371669,-0.06575704235143086
actual,1745086382.889721,394656.91714018234,4438783.016192908,-0.0657498515949127
actual,1745086382.9896748,394656.91752279963,4438783.016854636,-0.06577728817075397
actual,1745086383.0896904,394656.917438225,4438783.016824491,-0.06579645188594085
actual,1745086383.1896772,394656.91708999255,4438783.016839209,-0.06577821319525767
actual,1745086383.2896721,394656.9165574702,4438783.016754842,-0.06575411019828747
actual,1745086383.3897111,394656.91608526796,4438783.016852137,-0.06580844229790205
actual,1745086383.4896822,394656.91955115495,4438783.017051787,-0.06583694352458708
actual,1745086383.5897143,394656.9194861853,4438783.0170222055,-0.06585944081864528
actual,1745086383.689701,394656.9195099877,4438783.01689711,-0.06577395459188265
actual,1745086383.789694,394656.92008111853,4438783.016814239,-0.06578767287980342
actual,1745086383.8896832,394656.9208344575,4438783.016811708,-0.06584505930560895
actual,1745086383.9897158,394656.9190908968,4438783.017264867,-0.0657208267694519
actual,1745086384.0896916,394656.9189979055,4438783.017395947,-0.06574798409261307
actual,1745086384.1896982,394656.91873259965,4438783.017591105,-0.06576981816155544
actual,1745086384.289696,394656.9183778224,4438783.017697692,-0.065735731881264
